TABLE,SUBTABLE,VARIABLE
FOREST_AREA,,
COOP_RATE,,
TOTAL,,TOTAL
SIZE,AC_WOOD,AC_WOOD_CAT
SIZE,PARC_MULTI,PARC_MULTI
SIZE,FOOTNOTE,AC_WOOD
OWNTYPE_NUM,OWNTYPE,OWNTYPE
OWNTYPE_NUM,OWNERS_NUMBER,OWNERS_NUMBER_CAT
OWNTYPE_NUM,FOOTNOTE,OWNERS_NUMBER
HOME_FARM,HOME,HOME_2
HOME_FARM,CABIN,CABIN_2
HOME_FARM,FARM,FARM_2
OBJ_1,OBJ_BEA,OBJ_BEA
OBJ_1,OBJ_NAT,OBJ_NAT
OBJ_1,OBJ_WAT,OBJ_WAT
OBJ_1,OBJ_WIL,OBJ_WIL
OBJ_1,OBJ_INV,OBJ_INV
OBJ_1,OBJ_PRI,OBJ_PRI
OBJ_2,OBJ_FAM,OBJ_FAM
OBJ_2,OBJ_CHILD,OBJ_CHILD
OBJ_2,OBJ_FIRE,OBJ_FIRE
OBJ_2,OBJ_TIM,OBJ_TIM
OBJ_2,OBJ_NTFP,OBJ_NTFP
OBJ_2,OBJ_HUNT,OBJ_HUNT
OBJ_3,,OBJ_REC
ACQ,ACQ_TYPE,ACQ_TYPE_PURCH
ACQ,ACQ_TYPE,ACQ_TYPE_INHERIT
ACQ,ACQ_TYPE,ACQ_TYPE_GIFT
ACQ,ACQ_TYPE,ACQ_TYPE_OTHER
ACQ,ACQ_SRC,ACQ_SRC_PARENT
ACQ,ACQ_SRC,ACQ_SRC_SPOUSE
ACQ,ACQ_SRC,ACQ_SRC_FAM
ACQ,ACQ_SRC,ACQ_SRC_INDIV
ACQ,ACQ_SRC,ACQ_SRC_BUS
ACQ,ACQ_SRC,ACQ_SRC_GOV
ACQ,ACQ_SRC,ACQ_SRC_OTH
ACQ,TENURE_CAT,TENURE_CAT
ACQ,FOOTNOTE,TENURE
TRAN,TRAN,TRAN
TRAN,PARC,PARC
TRAN,TRAN_TO,TRAN_TO_CHILD
TRAN,TRAN_TO,TRAN_TO_FAM
TRAN,TRAN_TO,TRAN_TO_INDIV
TRAN,TRAN_TO,TRAN_TO_BUS
TRAN,TRAN_TO,TRAN_TO_GOV
TRAN,TRAN_TO,TRAN_TO_OTH
TRAN,TRAN_RECENT,TRAN_RECENT
MAN,,MAN_OWN
MAN,,MAN_SPOUSE
MAN,,MAN_CHILD
MAN,,MAN_PARENT
MAN,,MAN_FAM
MAN,,MAN_PARTNER
MAN,,MAN_FORESTER
MAN,,MAN_OTH
MAN_PLAN,MAN_PLAN_KNOW,MAN_PLAN_KNOW
MAN_PLAN,MAN_PLAN,MAN_PLAN
MAN_PLAN,MAN_PLAN_WRITER,MAN_PLAN_WRITER
MAN_PLAN,MAN_PLAN_IMPLEMENT,MAN_PLAN_IMPLEMENT
CUT,CUT,CUT
CUT,CUT_TYPE,CUT_TYPE_FIRE
CUT,CUT_TYPE,CUT_TYPE_LOGS
CUT,CUT_TYPE,CUT_TYPE_CHIPS
CUT,CUT_TYPE,CUT_TYPE_FENCE
CUT,CUT_TYPE,CUT_TYPE_OTH
CUT,CUT_WHY,CUT_WHY_SALE
CUT,CUT_WHY,CUT_WHY_PERS
CUT,CUT_WHY,CUT_WHY_OTH
CUT,CUT_FORESTER,CUT_FORESTER_2
NTFP,NTFP_TYPE,NTFP_TYPE_EDIB
NTFP,NTFP_TYPE,NTFP_TYPE_MEDI
NTFP,NTFP_TYPE,NTFP_TYPE_LAND
NTFP,NTFP_TYPE,NTFP_TYPE_DECO
NTFP,NTFP_TYPE,NTFP_TYPE_OTH
NTFP,NTFP_TYPE,NTFP_TYPE_NONE
NTFP,NTFP_WHY,NTFP_WHY_SALE
NTFP,NTFP_WHY,NTFP_WHY_PERS
NTFP,NTFP_WHY,NTFP_WHY_OTH
ACT,,ACT_CUT_SALE
ACT,,ACT_CUT_PERS
ACT,,ACT_NTFP
ACT,,ACT_RED_FIRE
ACT,,ACT_CONTROL_BURN
ACT,,ACT_INVA
ACT,,ACT_INS
ACT,,ACT_ROAD
ACT,,ACT_TRAIL
ACT,,ACT_WILD
ACT,,ACT_GRAZE
ACT,,ACT_OTH
ACT,,ACT_NONE
FUT,,FUT_CUT_SALE
FUT,,FUT_CUT_PERS
FUT,,FUT_NTFP
FUT,,FUT_RED_FIRE
FUT,,FUT_CONTROL_BURN
FUT,,FUT_INVA
FUT,,FUT_INS
FUT,,FUT_ROAD
FUT,,FUT_TRAIL
FUT,,FUT_WILD
FUT,,FUT_GRAZE
FUT,,FUT_OTH
FUT,,FUT_NONE
FUT,,FUT_DONTKNOW
CERT,CERT_KNOW,CERT_KNOW
CERT,CERT,CERT
TAX,TAX_KNOW,TAX_KNOW
TAX,TAX,TAX
EASE,EASE_KNOW,EASE_KNOW
EASE,EASE,EASE
EASE,EASE_5YR,EASE_5YR_2
COST,COST_KNOW,COST_KNOW
COST,COST_5YR,COST_5YR
CARBON,CARBON_KNOW,CARBON_KNOW
CARBON,CARBON,CARBON
LEASE,LEASE,LEASE
LEASE,LEASE_ACT,LEASE_ACT_HUNT
LEASE,LEASE_ACT,LEASE_ACT_REC
LEASE,LEASE_ACT,LEASE_ACT_GRAZE
LEASE,LEASE_ACT,LEASE_ACT_OTH
LEASE,LEASE_5YR,LEASE_5YR
REC,REC_WHO,REC_WHO_OWN
REC,REC_WHO,REC_WHO_CHILD
REC,REC_WHO,REC_WHO_FAM
REC,REC_WHO,REC_WHO_FRND
REC,REC_WHO,REC_WHO_NEIGH
REC,REC_WHO,REC_WHO_PUB_FREE
REC,REC_WHO,REC_WHO_PUB_FEE
REC,REC_WHO,REC_WHO_OTH
REC,REC_WHO,REC_WHO_NONE
REC,REC_HOW,REC_HOW_HUNT
REC,REC_HOW,REC_HOW_FISH
REC,REC_HOW,REC_HOW_HIKE
REC,REC_HOW,REC_HOW_BIKE
REC,REC_HOW,REC_HOW_CAMP
REC,REC_HOW,REC_HOW_HORSE
REC,REC_HOW,REC_HOW_SKI
REC,REC_HOW,REC_HOW_OHV
REC,REC_HOW,REC_HOW_OTH
POST,POST,POST
POST,POST_RESTR,POST_RESTR_TRES
POST,POST_RESTR,POST_RESTR_HUNT
POST,POST_RESTR,POST_RESTR_VEH
POST,POST_RESTR,POST_RESTR_OTH
ADVICE,ADVICE,ADVICE
ADVICE,ADV_TOP,ADV_TOP_INS
ADVICE,ADV_TOP,ADV_TOP_WILD
ADVICE,ADV_TOP,ADV_TOP_TIM
ADVICE,ADV_TOP,ADV_TOP_CONS
ADVICE,ADV_TOP,ADV_TOP_FIRE
ADVICE,ADV_TOP,ADV_TOP_INVAS
ADVICE,ADV_TOP,ADV_TOP_OTH
ADVICE,ADV_METH,ADV_METH_TALK
ADVICE,ADV_METH,ADV_METH_VISIT
ADVICE,ADV_METH,ADV_METH_WRIT
ADVICE,ADV_METH,ADV_METH_NET
ADVICE,ADV_METH,ADV_METH_EMAIL
ADVICE,ADV_METH,ADV_METH_CONF
ADVICE,ADV_METH,ADV_METH_OTH
ADVICE,ADV_SRC,ADV_SRC_STATE
ADVICE,ADV_SRC,ADV_SRC_EXT
ADVICE,ADV_SRC,ADV_SRC_FED
ADVICE,ADV_SRC,ADV_SRC_PRIV
ADVICE,ADV_SRC,ADV_SRC_OWNER
ADVICE,ADV_SRC,ADV_SRC_FAM
ADVICE,ADV_SRC,ADV_SRC_OTH
ASSIST,INFO,INFO_TIM
ASSIST,INFO,INFO_TRAN
ASSIST,INFO,INFO_EASE
ASSIST,INFO,INFO_WILD
ASSIST,INFO,INFO_INVAS
ASSIST,INFO,INFO_FIRE
ASSIST,INFO,INFO_INS
ASSIST,INFO,INFO_OTH
ASSIST,INFO,INFO_NONE
ASSIST,HELP_TYPE,HELP_TYPE_TALK_NEIGH
ASSIST,HELP_TYPE,HELP_TYPE_TALK_EXP
ASSIST,HELP_TYPE,HELP_TYPE_VISIT
ASSIST,HELP_TYPE,HELP_TYPE_WRIT
ASSIST,HELP_TYPE,HELP_TYPE_NET
ASSIST,HELP_TYPE,HELP_TYPE_EMAIL
ASSIST,HELP_TYPE,HELP_TYPE_CONF
ASSIST,HELP_TYPE,HELP_TYPE_OTH
ASSIST,HELP_TYPE,HELP_TYPE_NA
ASSIST,HELP,HELP_COST
ASSIST,HELP,HELP_TAX
ASSIST,HELP,HELP_TIM
ASSIST,HELP,HELP_OTH
ASSIST,HELP,HELP_NONE
CNC_1,CNC_AIR,CNC_AIR
CNC_1,CNC_CLIM,CNC_CLIM
CNC_1,CNC_ANIM,CNC_ANIM
CNC_1,CNC_DEV,CNC_DEV
CNC_1,CNC_WAT_LACK,CNC_WAT_LACK
CNC_1,CNC_OHV,CNC_OHV
CNC_2,CNC_GOVT,CNC_GOVT
CNC_2,CNC_TAX,CNC_TAX
CNC_2,CNC_INVA,CNC_INVA
CNC_2,CNC_HEIR,CNC_HEIR
CNC_2,CNC_DUMP,CNC_DUMP
CNC_2,CNC_TRES,CNC_TRES
CNC_3,CNC_INS,CNC_INS
CNC_3,CNC_WAT_POL,CNC_WAT_POL
CNC_3,CNC_FIRE,CNC_FIRE
CNC_3,CNC_STORM,CNC_STORM
TRAN_FUT,TRAN_FUT,TRAN_FUT
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_CHILD
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_FAM
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_INDIV
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_BUS
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_GOV
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_OTH
TRAN_FUT,TRAN_FUT_TO,TRAN_FUT_TO_DONTKNOW
ATT,ATT_WOODED,ATT_WOODED
ATT,ATT_SELL,ATT_SELL
ATT,KNOW_WOOD,KNOW_WOOD
ATT,WANT_KNOW_WOOD,WANT_KNOW_WOOD
ATT,EMO_WOOD,EMO_WOOD
ATT,WOOD_COMMUNITY,WOOD_COMMUNITY
DEMO,OWN1_AGE_CAT,OWN1_AGE_CAT
DEMO,OWN1_GENDER,OWN1_GENDER
DEMO,OWN1_EDU,OWN1_EDU
DEMO,OWN1_ETH,OWN1_ETH
DEMO,OWN1_RACE,OWN1_RACE_INDIAN
DEMO,OWN1_RACE,OWN1_RACE_ASIAN
DEMO,OWN1_RACE,OWN1_RACE_BLACK
DEMO,OWN1_RACE,OWN1_RACE_HAWAIIAN
DEMO,OWN1_RACE,OWN1_RACE_WHITE
DEMO,FOOTNOTE,OWN1_AGE
INC_WOOD_CAT,,INC_WOOD_CAT
INC_WOOD_CAT,FOOTNOTE,INC_WOOD
