GEO_LEVEL,GEO_NAME,GEO_ABB,GEO_CD,REGION
STATE,Alabama,AL,1,SOUTH
SUBSTATE,Alaska - Coastal,AK_COAST,2.1,WEST
STATE,Arizona,AZ,4,WEST
STATE,Arkansas,AR,5,SOUTH
STATE,California,CA,6,WEST
STATE,Colorado,CO,8,WEST
STATE,Connecticut,CT,9,NORTH
STATE,Delaware,DE,10,NORTH
STATE,Florida,FL,12,SOUTH
STATE,Georgia,GA,13,SOUTH
STATE,Hawaii,HI,15,WEST
STATE,Idaho,ID,16,WEST
STATE,Illinois,IL,17,NORTH
STATE,Indiana,IN,18,NORTH
STATE,Iowa,IA,19,NORTH
STATE,Kansas,KS,20,WEST
STATE,Kentucky,KY,21,SOUTH
STATE,Louisiana,LA,22,SOUTH
STATE,Maine,ME,23,NORTH
STATE,Maryland,MD,24,NORTH
STATE,Massachusetts,MA,25,NORTH
STATE,Michigan,MI,26,NORTH
STATE,Minnesota,MN,27,NORTH
STATE,Mississippi,MS,28,SOUTH
STATE,Missouri,MO,29,NORTH
STATE,Montana,MT,30,WEST
STATE,Nebraska,NE,31,WEST
STATE,Nevada,NV,32,WEST
STATE,New Hampshire,NH,33,NORTH
STATE,New Jersey,NJ,34,NORTH
STATE,New Mexico,NM,35,WEST
STATE,New York,NY,36,NORTH
STATE,North Carolina,NC,37,SOUTH
STATE,North Dakota,ND,38,WEST
STATE,Ohio,OH,39,NORTH
STATE,Oklahoma,OK,"40.1, 40.2",SOUTH
SUBSTATE,Oklahoma - East,OK_EAST,40.1,SOUTH
SUBSTATE,Oklahoma - West,OK_WEST,40.2,SOUTH
STATE,Oregon,OR,41,WEST
STATE,Pennsylvania,PA,42,NORTH
STATE,Rhode Island,RI,44,NORTH
STATE,South Carolina,SC,45,SOUTH
STATE,South Dakota,SD,46,WEST
STATE,Tennessee,TN,47,SOUTH
STATE,Texas,TX,"48.1, 48.2",SOUTH
SUBSTATE,Texas - East,TX_EAST,48.1,SOUTH
SUBSTATE,Texas - West,TX_WEST,48.2,SOUTH
STATE,Utah,UT,49,WEST
STATE,Vermont,VT,50,NORTH
STATE,Virginia,VA,51,SOUTH
STATE,Washington,WA,53,WEST
STATE,West Virginia,WV,54,NORTH
STATE,Wisconsin,WI,55,NORTH
STATE,Wyoming,WY,56,WEST
NATION,United States,US,"1, 2.1, 4, 5, 6, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40.1, 40.2, 41, 42, 44, 45, 46, 47, 48.1, 48.2, 49, 50, 51, 53, 54, 55, 56"
REGION,Northern United States,NORTH,"9, 10, 17, 18, 19, 23, 24, 25, 26, 27, 29, 33, 34, 36, 39, 42, 44, 50, 54, 55"
REGION,Southern United States,SOUTH,"1, 5, 12, 13, 21, 22, 28, 37, 40.1, 40.2, 45, 47, 48.1, 48.2, 51"
REGION,Western United States,WEST,"2.1, 4, 6, 8, 15, 16, 20, 30, 31, 32, 35, 38, 41, 46, 49, 53, 56"
SUBREGION,Northeastern United States,NORTHEAST,"9, 10, 23, 24, 25, 33, 34, 36, 42, 44, 50, 54"
SUBREGION,North Central United States,NORTH_CENTRAL,"17, 18, 19, 26, 27, 29, 39, 55"
SUBREGION,Southeastern United States,SOUTHEAST,"12, 13, 37, 45, 51"
SUBREGION,South Central United States,SOUTH_CENTRAL,"1, 5, 21, 22, 28, 40.1, 40.2, 47, 48.1, 48.2"
SUBREGION,U.S. Rocky Mountains,ROCKY_MOUNTAIN,"4, 8, 16, 20, 30, 31, 32, 35, 38, 46, 49, 56"
SUBREGION,U.S. Pacific Coast,PACIFIC_COAST,"2.1, 6, 15, 41, 53"
